,review_id,user_id,business_id,stars,useful,funny,cool,text,date,sentiment
5085,pTa24kN8bZ1sGcihi1ssDA,V7QelKlw-V5qcmK6km4_9g,s2B_ZeSGTlQ3qbm0dOY5rg,5,0,0,0,"Went in for a bite to eat last night, everyone was so nice. The love the Philly cheese steak with fries yumminess.",2016-04-30 14:09:36,1
4887,5End92pAKpZ9wJumTiPU2A,ff6d7M79ZUkAMfMRBmvSeA,s2B_ZeSGTlQ3qbm0dOY5rg,5,0,0,0,"BEST CHEESEBURGERS in Charlotte!!! I recently discovered and tried Hwy55 on Shopton Rd and was blown away!  I'm not a typical burger person but Hwy55 burgers are not typical either.  The first bite of that burger...I literally heard music.  In addition, the customer service and employees were friendly, warm and inviting.  If you're looking for a juicy, fresh and yummy burger, this is it!!",2018-09-30 18:25:13,1
5596,zkPsh8g38m2AGo46f10vqw,senFQrofzW2z5BkF2VhR_Q,s2B_ZeSGTlQ3qbm0dOY5rg,5,0,0,0,"Expecting an average joint with average service based on other reviews. The staff was actually quite pleasant and accommodating, esp since they had to be here New Year's Day. The burger was right on time...and so convenient",2017-01-01 18:25:46,1
5437,m9DoyP2qVdh2C3l-Jz5wag,Pn9LWm9p7lFUivsGxvbvMQ,s2B_ZeSGTlQ3qbm0dOY5rg,5,0,0,0,I thought they had amazing good and excellent customer service. And the tea was outstanding I will really enjoy going back soon just for the 50-60 theme,2016-04-07 04:11:38,1
5258,wwCSY00ca8Q6fRaEAqsy-Q,V6nILZLuJwgyx2Ol3BgbEA,s2B_ZeSGTlQ3qbm0dOY5rg,5,0,0,0,"Food fresh the hamburger was off the chain.... 
Shakes awesome 
Clean 
Upbeat fun music
Employee are very nice .....   

Krystal and Braxton are so awesome. Really went above and beyond.",2016-10-17 20:10:21,1
4943,JmBYTkRZRrVatiFyJvMeRg,3uaLoaT-0Qzf98WzZVEEtw,s2B_ZeSGTlQ3qbm0dOY5rg,1,0,0,0,Disappointed!!! Came in with my family for dinner around 6:30pm food didn't come out until 7:20 .... It took 50 min to make two cheeseburgers and a hot dog .... Food didn't taste any better then McDonald's across the street !!!,2016-04-26 23:46:58,0
5843,KDaY2q7W3O8awTMPOVIRTg,qUL3CdRRF1vedNvaq06rIA,s2B_ZeSGTlQ3qbm0dOY5rg,1,9,4,4,"Ok, sorry but I was so unimpressed and disappointed with Hwy 55, I would not return to this location anytime soon.

I was craving a hamburger, a rare occasion, and was on my way to the Charlotte Outlet Center and saw this location just a few minutes away.
I arrived a few minutes past 12:00pm and the parking lot was empty...maybe that should have been a sign.

Upon walking in there were three or four servers standing around, and two line cooks.  They told me to sit ""wherever"". After choosing a booth the waitress brought me a menu and I decided to order the All American Cheeseburger with Fries and a Hot Dog, all the way. Why not try a few things to get a feel for what I might like.

Less then three minutes later my food arrived.
The burger was so overcooked, and tasted like packaged meat I was not impressed. And, I love all the toppings, lettuce, pickles, ketchup and mayo, but when the mayo overwhelms the entire burger it is a little too much.
The fries were definitely precooked and so overdone they weren't even edible. And, one thing I will add, which I saw in another review, they over salt everything. And, I love me some salt, but I couldn't even do it.

As for the hot dog, I don't think I have ever seen a neon pink hot dog before, nasty. The cole slaw and chili on top was straight out of a can and disgusting.

Obviously there are some great reviews, so I am not sure if I went on an off day, but based on the fact that Charlotte offers too many great hamburger and hot dog joints I will definitely not be returning to Hwy 55 anytime soon.",2018-10-06 22:29:38,0
5805,R113NkCuyhCz59BQcVzIfQ,xDBIQtCFTJ2R2vDbtkf3KQ,s2B_ZeSGTlQ3qbm0dOY5rg,1,1,1,1,"Well came in sat at the bar , even asked the waitress where to order and after 20 mins no one came to take our order, we finally decided to place our order to go and stand at register , we continued to be ignored , then when we finally got someone to take our order , we were interrupted several times for our server to handle other tasks and continue to delay our order, we felt like we were inconveniencing them to be there . When I asked what flavor ice cream they served , the waitress proceeded to throw a menu in my face and show me the topping and told me those were the flavor of ice cream. !?!? Horrible service,  attitudes and the floors need to be cleaned !!",2017-05-26 00:14:00,0
5494,yHaGZ7Ba1p0Wwje_WEIkpQ,Z9XWPIsb_ASzr76XJxYJ5w,s2B_ZeSGTlQ3qbm0dOY5rg,1,2,1,1,"Visited this place for the first time, and it was the most terrible experience for my family and friends.

I had to ask for my drink a couple of times to get it. It got never refilled. Order took around 40 minutes to come out (we had a 1, 1 1/2, and 3 year old with us) so imagine how stressed we were since food wasn't being served on time. Placed wasn't full at all so I wasn't expecting to take that long. 

Finally food came and the order was wrong, it was missing all the toppings we ordered on 2 burgers (except for lettuce) (it was a simple order, nothing out of the ordinary)
I didn't even get a ""I am sorry"", I waited a few more minutes but decided not to eat. 

I was still charged for the rest of the food.


I will never go back there.",2017-07-05 16:27:24,0
5405,QnSAA3o9UUG3QJLko0WFpA,GG3necdcig7tx8KxPL1VGA,s2B_ZeSGTlQ3qbm0dOY5rg,1,0,0,0,"We had dinner at Highway 55 in Harrisburg NC and a child was working there.  She can't be more than 6 years old and she was wearing the same black pants and pink uniform shirt as the rest of the employees.   She came to our table and introduced herself as ""your waitress"" and took our drink orders.  She checked on us several times while we ate and upsold their products.  When I declined to order one of their shakes for dessert she took the folder feom her apron, selected my check from the several she had and lay it on my table.  I watched her press buttons on the touchscreen register to process my payment as an adult employee watched and supervised,  I guess.  My first act upon leaving the restaurant was to call the non emergency number for the police.  There was no answer so I called 911 and told them it wasn't an emergency but here's what is going on and can they send someone to remind these people that child labor is illegal.  They gave me the non emergency number for the sheriff department.  I called and reported the facts and asked again if they could send someone.  They gave me the number for the state OSHA complaint line that operates during business hours.  I guess I'll leave a message in case anyone cares.",2017-08-04 22:34:01,0
